,AAPL,MSFT,NVDA,GOOGL,META,AVGO,CRM,ADBE,JPM,BAC,GS,MS,AXP,WFC,SCHW,JNJ,UNH,PFE,ABBV,MRK,TMO,ABT,MDT,AMZN,TSLA,MCD,NKE,SBUX,TGT,COST,XOM,CVX,COP,SLB,EOG,PSX,CAT,BA,HON,UPS,RTX,DE,NEE,DUK,AMT,PLD,LIN,VZ
2019-01-31,156697890.9090909,34165472.72727273,796469454.5454545,33730000.0,25389886.363636363,35637045.45454545,5633268.181818182,3267763.6363636362,15559981.818181818,79220540.9090909,4334522.7272727275,15252954.545454545,4473436.363636363,23036527.272727273,7278345.454545454,8408450.0,3985495.4545454546,30480659.5,8511063.636363637,14565451.818181818,2290936.3636363638,7602490.909090909,7076677.2727272725,127292909.0909091,136229250.0,3795531.8181818184,7428359.090909091,13025790.909090908,5306768.181818182,2190572.727272727,12953895.454545455,6751695.454545454,6310377.2727272725,15208281.818181818,3272145.4545454546,2913131.8181818184,5699604.545454546,4319990.909090909,3198104.8636363638,3960995.4545454546,9060369.727272727,2337345.4545454546,9832363.636363637,3009727.272727273,1885263.6363636365,2806386.3636363638,1834004.5454545454,18142786.363636363
2019-02-28,99433480.0,24785140.0,648123800.0,34000000.0,15887380.0,21622200.0,5078745.0,2701040.0,11982600.0,51924555.0,2634225.0,11203390.0,3136230.0,17541815.0,6098240.0,6305935.0,4052260.0,23503757.35,5745280.0,10483537.1,1282825.0,5806200.0,5350780.0,85280800.0,99341250.0,4073850.0,5518475.0,11463550.0,4883395.0,2013420.0,12969880.0,5999455.0,5540260.0,8920225.0,3565465.0,2812610.0,4208755.0,4044995.0,3151472.45,3218915.0,6738869.7,2677395.0,8238920.0,3394640.0,1880490.0,2528255.0,1730420.0,12886700.0
2019-03-31,123996457.14285715,28052180.95238095,574692380.9523809,31606571.42857143,18473147.61904762,34615428.571428575,6452647.619047619,3417966.6666666665,14599980.952380951,59087752.38095238,2999433.3333333335,11939414.285714285,3366676.1904761903,22068380.95238095,6891566.666666667,6540690.476190476,4824747.619047619,26390759.714285713,6100676.19047619,10095907.952380951,1511771.4285714286,5696180.952380952,5557785.714285715,96030666.66666667,152709642.85714287,3030619.0476190476,7516095.238095238,9174533.333333334,5212938.095238095,2422209.523809524,12974019.047619049,6010961.904761905,7673485.714285715,8667952.38095238,5223180.952380952,2534228.5714285714,3862352.380952381,12227114.285714285,3037365.1904761903,2889528.5714285714,5876848.428571428,1715571.4285714286,7995619.047619048,4130966.6666666665,1839128.5714285714,2393590.476190476,1612971.4285714286,14596033.333333334
2019-04-30,96420636.36363636,20961304.545454547,446307636.3636364,30554363.636363637,17892768.181818184,19736772.727272727,3879945.4545454546,2219781.8181818184,12046281.818181818,58571290.90909091,3015709.090909091,11940281.818181818,3563995.4545454546,26335022.727272727,6291427.2727272725,6127959.090909091,8517581.818181818,24400641.5,6130450.0,13858952.045454545,1817318.1818181819,5826054.545454546,5974600.0,76353727.27272727,161334272.72727272,2565054.5454545454,5654009.090909091,6959304.545454546,4343877.2727272725,1555227.2727272727,10409877.272727273,10491445.454545455,7287650.0,9172831.818181818,3956045.4545454546,2303409.090909091,4018081.8181818184,6641431.818181818,3316309.8181818184,3139486.3636363638,4481081.181818182,1486872.7272727273,7042436.363636363,3147490.909090909,1666027.2727272727,2203154.5454545454,1630686.3636363635,13008240.909090908
2019-05-31,132725443.47826087,24406182.608695652,501666782.6086956,33099130.43478261,12853443.47826087,29135130.43478261,4498721.739130435,2233660.8695652173,10402139.130434783,47804786.95652174,2295221.7391304346,9417673.913043479,3123743.4782608696,18576221.739130434,6394960.869565218,7152495.652173913,4528226.0869565215,24706383.217391305,4563330.434782608,9585131.0,1428021.7391304348,4828095.652173913,5756391.304347826,88334000.0,193523086.95652175,2638900.0,7292191.304347826,7584934.782608695,6432047.826086956,1782373.9130434783,11180452.173913043,7820352.173913044,6721530.434782608,9824847.826086957,3583234.782608696,2823617.3913043477,4856913.043478261,4703956.521739131,3017461.086956522,3000369.565217391,4660606.0869565215,2668439.1304347827,7405965.217391305,3083595.652173913,1547521.7391304348,2163717.3913043477,1528869.5652173914,13821508.695652174
2019-06-30,103043740.0,25416215.0,411667000.0,35622600.0,21321430.0,36855000.0,9141675.0,3391230.0,12410700.0,49358615.0,2204485.0,9251265.0,2856915.0,19146840.0,9660095.0,7544150.0,3646365.0,23059396.05,12917040.0,11831086.85,1537945.0,5757445.0,5048905.0,74746500.0,161227950.0,3188205.0,6733280.0,8165290.0,4682815.0,1718470.0,10947680.0,5638510.0,6342695.0,10681990.0,3253355.0,3092240.0,4002960.0,4041535.0,2491981.4,3304395.0,7292270.7,2079055.0,7184600.0,3233240.0,1933825.0,2291940.0,2438860.0,13057855.0
2019-07-31,84384991.30434783,21639530.43478261,376635652.17391306,31967739.13043478,15707260.869565217,24768173.913043477,5087573.9130434785,1916117.391304348,10385134.782608695,43071373.91304348,2303247.8260869565,8138804.347826087,3341139.1304347827,18351960.86956522,9123700.0,7099313.043478261,3699221.7391304346,26139025.782608695,10990295.652173912,10392410.043478262,1332973.9130434783,4616295.652173913,3761773.913043478,65077478.26086956,139263782.60869566,2655508.695652174,5295756.521739131,7558008.695652174,3730543.4782608696,1439513.043478261,8354156.521739131,4445634.782608695,5678730.434782608,9085478.260869564,3287991.304347826,2509330.434782609,4038847.8260869565,4621882.608695652,2197280.304347826,3547191.304347826,5012735.391304348,1631269.5652173914,6112608.695652174,2275934.782608696,1704065.2173913044,2118369.565217391,1372721.7391304348,11988926.086956521
2019-08-31,123833018.18181819,26567363.636363637,429560363.6363636,26650454.545454547,13394977.272727273,20580772.727272727,9114172.727272727,2311904.5454545454,11790631.818181818,61786418.18181818,1970563.6363636365,11151595.454545455,3291931.8181818184,19311995.454545453,10186572.727272727,8018213.636363637,3480800.0,29147004.5,8606909.090909092,8645418.772727273,1495163.6363636365,4712627.2727272725,4813363.636363637,72519272.72727273,91220863.63636364,2907722.727272727,6278054.545454546,6457681.818181818,8265572.7272727275,2268718.1818181816,12618172.727272727,6020931.818181818,6392018.181818182,11148813.636363637,4277236.363636363,2260809.090909091,4052022.727272727,4356963.636363637,2734799.772727273,3118136.3636363638,4401457.7727272725,2189250.0,8099254.545454546,2782831.8181818184,1550659.0909090908,2087331.8181818181,1830931.8181818181,12632377.272727273
2019-09-30,107373428.57142857,23642138.095238097,316113523.8095238,25482666.666666668,13110142.857142856,25389476.19047619,4822776.19047619,3241009.523809524,11406238.095238095,59223242.85714286,2263109.523809524,9271809.523809524,3861447.619047619,23020390.476190478,7117776.19047619,6204619.047619048,4334104.761904762,22037378.38095238,8281366.666666667,9284825.952380951,1510390.4761904762,3919033.3333333335,4762138.095238095,61172952.38095238,103639928.57142857,3181971.4285714286,6645219.047619048,6653361.904761905,4112666.6666666665,2346671.4285714286,10692204.761904761,6085347.619047619,7857047.619047619,12282509.523809524,4206328.571428572,2587285.714285714,3926252.380952381,3883109.523809524,3197217.619047619,2835014.285714286,4118809.1904761903,1875190.4761904762,9352457.142857144,2692176.1904761903,2057533.3333333333,2176071.4285714286,1488880.9523809524,10395200.0
2019-10-31,105791773.91304348,23892321.739130434,334616173.9130435,26244956.52173913,14182921.739130436,18333000.0,4359482.608695652,2643526.086956522,10955721.739130436,52470800.0,2681934.782608696,10086113.043478262,3067643.4782608696,20172465.217391305,11384665.217391305,8984969.56521739,4668595.652173913,17700578.13043478,7035239.130434782,8370257.565217392,1549434.7826086956,4853817.391304348,3465991.304347826,61183043.47826087,148684304.3478261,4328208.695652174,6749330.434782608,5995321.739130435,4037800.0,2032995.652173913,10330791.304347826,4801400.0,5934426.0869565215,13459204.347826088,4385643.478260869,2594600.0,4343100.0,4882069.565217392,2808162.4782608696,3044456.5217391304,4751828.478260869,1891339.1304347827,7141773.9130434785,2356013.0434782607,1547352.1739130435,2861908.695652174,1339713.043478261,11109482.608695652
