Date,AAPL,MSFT,NVDA,GOOGL,META,AVGO,CRM,ADBE,JPM,BAC,GS,MS,BLK,AXP,WFC,SCHW,JNJ,UNH,PFE,ABBV,MRK,TMO,ABT,MDT,AMZN,TSLA,MCD,NKE,SBUX,TGT,COST,XOM,CVX,COP,SLB,EOG,PSX,CAT,BA,HON,UPS,RTX,DE,NEE,DUK,AMT,PLD,LIN,VZ
2019-01-02,148158800,35329300,508752000,31868000,28146200,30346000,4783900,2784100,15670900,71836300,3999400,10648000,926800,4175400,20295200,5835100,7631700,4063600,26430315,6908400,15120125,2725100,8737200,7099100,159662000,174879000,2571500,6762700,10094000,4549300,2143100,16727200,6384800,5735400,15926100,3863000,3147800,4783200,3292200,2924116,3297300,9361752,1987700,10549600,2857400,2030600,2476100,1716400,13969700
2019-01-03,365248800,42579100,705552000,41960000,22717900,68580000,6365700,3663500,16286400,66599600,4060200,13034500,781000,4776600,22262000,10236000,8654500,4623200,28503533,7653200,13910628,3125000,10570700,6099800,139512000,104478000,3728200,8007400,14390100,4562200,2877700,13866100,6496200,4727300,20007900,2961700,3182000,6165800,5705600,3378224,2705000,8884258,2047200,9260800,2959700,2467400,3606700,1775500,19245400
2019-01-04,234428400,44060600,585620000,46022000,29002100,54248000,6650600,4043400,16935200,83829100,3788300,14371600,647800,4637200,23343600,7058600,8831700,5367600,27145348,8910600,14753115,2865400,8299100,6275400,183652000,110911500,3194300,7844200,12694400,4825900,2761600,16043600,7952500,7700100,19506600,3874200,3307200,5456600,4448800,3802200,3347300,10083317,2549100,10848800,3278100,2530000,4063500,1801300,17035800
2019-01-07,219111200,35656100,709160000,47446000,20089300,53433000,9064800,3638500,15430700,57016300,3152100,11812400,714500,3289000,21858000,8543700,8404700,4133000,20995469,7281500,15795142,2931400,9503000,17462700,159864000,113268000,3283000,8184800,10337600,7630600,2226600,10844200,5712700,6272200,15736900,4453100,3474000,4653400,4030300,3124221,3795700,8314601,2947400,9478000,3060200,1708000,2952800,1830200,16349000
2019-01-08,164101200,31514400,786016000,35414000,26263800,36795000,9057300,3685900,13578800,67339400,2692700,11398200,642900,3227200,19702900,7784700,9351600,3618600,19677231,7478300,11896686,2876600,8905100,14472200,177628000,105127500,2941400,8809000,10809700,6756000,2366500,11439000,5674900,5774900,13070200,3437800,2357300,4202600,4736500,2796902,3034300,5951282,3124800,10599600,2350500,2502700,3482700,2207300,21424600
2019-01-09,180396400,32280800,617260000,26998000,22205900,52971000,5445900,3594200,14230300,69707200,3321400,9223000,640500,2954500,18837700,5166100,7403500,3425400,20107580,9971900,11916284,2989000,6091000,7894300,126976000,81493500,2680700,8591000,13080300,6025100,1862900,13473500,7097000,8350300,17909200,4739600,2588600,4865600,4213900,2114467,3678200,6726873,3134300,7047600,3264400,1797300,2609000,2099900,18136000
2019-01-10,143122800,30067600,523156000,26598000,16125000,29594000,5116900,2704600,14376100,65235800,2808700,7560800,487100,3523800,16208400,5205500,6224400,3374100,39731162,6527700,19134070,1885700,8051200,5279200,130154000,90846000,2498500,11148600,10397600,13913700,2340700,13151100,6078300,8811100,13299600,3480400,2323700,3418500,5358100,2280832,2432200,5368119,2693600,11384800,3758000,1986600,2524000,2093900,14259900
2019-01-11,108092800,28314200,874764000,30864000,12908000,20158000,5185200,3179500,15439900,63476000,3182700,8191900,706500,2770600,20006900,4217500,5300400,3967100,21064506,5318100,9878029,1369200,6583000,5054300,93724000,75586500,2348900,10689900,13805700,5025900,1861100,9790100,4491700,6018300,13330500,3206100,2102600,2908600,3158900,2005714,5282800,5759807,2039000,8860000,3082400,1878800,2154500,1380400,15801500
2019-01-14,129756800,28437100,730168000,28490000,20520300,25498000,5815500,2606800,21258500,76715400,3361700,12336300,919700,4120500,23827600,5815100,7374400,4955500,17605173,6368500,15669486,1613800,5122900,5294700,120118000,78709500,1886200,5677400,9929600,4568000,1523100,11012400,6121700,4972000,11804200,3504800,2178600,4482300,2476400,3289737,4731000,5049524,1364900,15355600,3931000,1435400,2867400,2004800,11342300
2019-01-15,114843600,31587600,617012000,37518000,24069000,39247000,5350400,3656500,26504900,80625500,2911800,11737000,846600,5795100,27447600,6481700,5194400,5325600,25865371,7295500,13102096,2375800,6306900,6323400,119970000,90849000,3860200,6212400,7930400,3770000,1681900,10298300,4226100,4504100,9398400,2452700,1953500,3224100,2940900,1954256,4777100,4444751,1369100,9261200,2722900,1597100,2148900,2110700,10058000
2019-01-16,122278800,29853900,470104000,38280000,18025700,24484000,3936800,2885200,18533000,163131700,15194200,30530400,1331500,4701900,32026400,12599700,6264200,6069400,30169380,4927000,15272504,1671800,6357300,5066800,127338000,70375500,3375600,5697100,8091300,4888700,1455000,12595600,5624100,5402300,12481600,2800500,2316100,3636900,2731100,2384385,4463400,6177238,1457300,7059200,2279100,1495200,2070900,1382100,13411700
2019-01-17,119284800,28393000,493436000,24896000,15787900,35154000,3743200,2836200,14247600,107428800,8177000,47037200,917200,5693300,25738800,7783200,7632000,3583600,24177284,6438700,16969321,1799000,5427800,7521700,84178000,55150500,3061000,7737300,6767100,4133200,1517100,10141700,4442700,5997400,13889800,2670800,3069200,6878500,4270400,2734621,4004300,5079239,2155100,8200800,1895700,1322800,2432400,2176500,15223900
2019-01-18,135004000,37427600,651336000,44892000,31029600,34634000,6151200,3711300,16428700,97928200,5650900,20614400,1031800,9872500,36380300,7954800,10593000,4844800,38618455,6190000,14980741,3125300,9404500,8549300,120410000,362262000,3498000,10404100,9835200,4484100,2115400,15759200,9382000,6073800,26638600,3299500,4014900,6122400,4256500,5752318,4249100,7366763,3879800,7414400,2842600,1763000,2389900,2494800,16802500
2019-01-22,121576000,32371300,661552000,39632000,22378700,37156000,5203300,4155500,17083700,84861400,4648500,20202400,905600,4699800,33975200,9036600,10568100,4052700,29444122,5664600,10568766,2007300,6541600,6567000,128336000,181000500,3190300,8781700,16414300,5763900,3310800,15035600,7242000,6915500,21523500,4390200,4733500,5188700,4336500,3391487,5593900,9039980,2076500,8654400,2693600,1503900,3443400,1699100,18284800
